gr no,house,Roll No.,School UID,STD,DIV,Surname,First Name,Father's Name,Mothers Name,DOB,religion,caste,category,blood group,Address,sms contact,gen contact,adhar card
2310,B,1,123456,1,D,Student One,,,,10/13/2009,,,,,"Sector 14, India House, New Delhi",9955996699,,
2311,G,2,123457,3,B,Ambika Ghaiwatkar,,,,34485,,,,,"Sector , Gwalior city",9898989898,,
2312,Y,3,123458,2,A,Mangla Ashtankar,,,,34674,,,,,"Sector , Gwalior city",9898989898,,
2313,R,4,123459,5,C,Pooja Ganvir,,,,34670,,,,,"Sector , Gwalior city",9898989898,,
2314,B,5,123460,4,D,Pradhnya Bhoyar,,,,34837,,,,,"Sector , Gwalior city",9898989898,,
2315,G,6,123461,6,B,Surabhi Parate ,,,,34736,,,,,"Sector , Gwalior city",9898989898,,
2316,Y,7,123462,8,A,Piyush Shukla ,,,,34722,,,,,"Sector , Gwalior city",9898989898,,
2317,R,8,123463,7,C,Pranay Kamble,,,,34249,,,,,"Sector , Gwalior city",9898989898,,
2318,B,9,123464,11,D,Shubahnshu Sahare,,,,34324,,,,,"Sector , Gwalior city",9898989898,,
2319,G,10,123465,9,B,Abhishek Motdhare,,,,33808,,,,,"Sector , Gwalior city",9898989898,,
2320,Y,11,123466,12,A,AMBU P. AMBADARE,,,,16/12/1994,,,,,"Sector , Gwalior city",9898989898,,
2321,R,12,123467,10,C,ANKITA B. SINGH,,,,14/11/1994,,,,,"Sector , Gwalior city",9898989898,,
2322,B,13,123468,1,D,ANKITA PATLE,,,,34527,,,,,"Sector , Gwalior city",9898989898,,
2323,G,14,123469,3,B,KAJAL D. THAKUR,,,,14/08/1994,,,,,"Sector , Gwalior city",9898989898,,
2324,Y,15,123470,2,A,KIRAN R. KAMBLE,,,,34012,,,,,"Sector , Gwalior city",9898989898,,
2325,R,16,123471,5,C,KOMAL R. NAXINE,,,,34759,,,,,"Sector , Gwalior city",9898989898,,
2326,B,17,123472,4,D,MINAL S. KHARTAD,,,,34005,,,,,"Sector , Gwalior city",9898989898,,
2327,G,18,123473,6,B,PALLAVI S. FEGADE,,,,14/02/1995,,,,,"Sector , Gwalior city",9898989898,,
2328,Y,19,123474,8,A,PRIYANKA S. DEWHARE,,,,25/07/1994,,,,,"Sector , Gwalior city",9898989898,,
2329,R,20,123475,7,C,RAKSHANA N. SHELKE,,,,29/11/1994,,,,,"Sector , Gwalior city",9898989898,,
2330,B,21,123476,11,D,RASHMI T. GHATOLE,,,,26/09/1993,,,,,"Sector , Gwalior city",9898989898,,
2331,G,22,123477,9,B,SANJIVANI B. PATIL,,,,17/09/1994,,,,,"Sector , Gwalior city",9898989898,,
2332,Y,23,123478,12,A,SHAHINA SHEIKH,,,,32884,,,,,"Sector , Gwalior city",9898989898,,
2333,R,24,123479,10,C,SHAHISTA SHEIKH,,,,34554,,,,,"Sector , Gwalior city",9898989898,,
2334,B,25,123480,1,D,SHRADDHA S. SHARMA,,,,14/01/1994,,,,,"Sector , Gwalior city",9898989898,,
2335,G,26,123481,3,B,SNEHAL K. DESHMUKH,,,,34434,,,,,"Sector , Gwalior city",9898989898,,
2336,Y,52,123482,2,A,zmbimz phziwztmzr,,,,34485,,,,,Agarpur,9898989898,,
2337,R,53,123483,5,C,Mznplz zshtznmzr,,,,34674,,,,,Agwarkhas,9898989898,,
2338,B,54,123484,4,D,Poojz pznvir,,,,34670,,,,,Aharan,9898989898,,
2339,G,55,123485,6,B,Przdhnyz Bhoyzr,,,,34837,,,,,Amanabad,9898989898,,
2340,Y,56,123486,8,A,Surzbhi Pzrzte ,,,,34736,,,,,Anwal Khera,9898989898,,
2341,R,57,123487,7,C,Piyush Shumlz ,,,,34722,,,,,Arela,9898989898,,
2342,B,58,123488,11,D,Prznzy mzmble,,,,34249,,,,,Bahrampur,9898989898,,
2343,G,59,123489,9,B,Shubzhnshu Szhzre,,,,34324,,,,,Bailoth,9898989898,,
2344,Y,60,123490,12,A,zbhishem Motdhzre,,,,33808,,,,,Baman,9898989898,,
2345,R,61,123491,10,C,zMBU P. zMBzDzRE,,,,16/12/1994,,,,,Bandhanu,9898989898,,
2346,B,62,123492,1,D,zNmITz B. SINpH,,,,14/11/1994,,,,,Barhan,9898989898,,
2347,G,63,123493,3,B,zNmITz PzTLE,,,,34527,,,,,Benai,9898989898,,
2348,Y,64,123494,2,A,mzJzL D. THzmUR,,,,14/08/1994,,,,,Bhagupur,9898989898,,
2349,R,65,123495,5,C,mIRzN R. mzMBLE,,,,34012,,,,,Bhikanpur Bakarpur,9898989898,,
2350,B,66,123496,4,D,mOMzL R. NzXINE,,,,34759,,,,,Biharipur,9898989898,,
2351,G,67,123497,6,B,MINzL S. mHzRTzD,,,,34005,,,,,Biruni,9898989898,,
2352,Y,68,123498,8,A,PzLLzVI S. FEpzDE,,,,14/02/1995,,,,,Chamraula,9898989898,,
2353,R,69,123499,7,C,PRIYzNmz S. DEWHzRE,,,,25/07/1994,,,,,Chaoli,9898989898,,
2354,B,70,123500,11,D,RzmSHzNz N. SHELmE,,,,29/11/1994,,,,,Chaugan,9898989898,,
2355,G,71,123501,9,B,RzSHMI T. pHzTOLE,,,,26/09/1993,,,,,Chaukra,9898989898,,
2356,Y,72,123502,12,A,SzNJIVzNI B. PzTIL,,,,17/09/1994,,,,,Chirhauli,9898989898,,
2357,R,73,123503,10,C,SHzHINz SHEImH,,,,32884,,,,,Chuharpur,9898989898,,
2358,B,74,123504,1,D,SHzHISTz SHEImH,,,,34554,,,,,Dhangraoli (A.H.),9898989898,,
2359,G,75,123505,3,B,SHRzDDHz S. SHzRMz,,,,14/01/1994,,,,,Dhangrauli Must,9898989898,,
2360,Y,76,123506,2,A,SNEHzL m. DESHMUmH,,,,34434,,,,,Dharera,9898989898,,
2361,R,77,123507,5,C,ASHISH G. GANORKAR,,,,34485,,,,,Agarpur,9898989898,,
2362,B,78,123508,4,D,ASHISH PATEL,,,,34674,,,,,Agwarkhas,9898989898,,
2363,G,79,123509,6,B,BHUSHAN N. YELLURE,,,,34670,,,,,Aharan,9898989898,,
2364,Y,80,123510,8,A,CHETAN A. NAGAPURE,,,,34837,,,,,Amanabad,9898989898,,
2365,R,81,123511,7,C,KAUTUBH S. BRAMHANKAR,,,,34736,,,,,Anwal Khera,9898989898,,
2366,B,82,123512,11,D,MANISHKUMAR M. CHANDANKAR,,,,34722,,,,,Arela,9898989898,,
2367,G,83,123513,9,B,MIHIR TALHAR,,,,34249,,,,,Bahrampur,9898989898,,
2368,Y,84,123514,12,A,PAWAN B. BAMBODE,,,,34324,,,,,Bailoth,9898989898,,
2369,R,85,123515,10,C,SACHIN D. WAGHMARE,,,,33808,,,,,Baman,9898989898,,
2370,B,86,123516,1,D,SHANKAR S. MATE,,,,16/12/1994,,,,,Bandhanu,9898989898,,
2371,G,87,123517,3,B,TARAKANT G. KAPKATE,,,,14/11/1994,,,,,Barhan,9898989898,,
2372,Y,88,123518,2,A,Rutuja Tadse,,,,34527,,,,,Benai,9898989898,,
2373,R,89,123519,5,C,Shital Pofare,,,,14/08/1994,,,,,Bhagupur,9898989898,,
2374,B,90,123520,4,D,Ankita Mathankar,,,,34012,,,,,Bhikanpur Bakarpur,9898989898,,
2375,G,91,123521,6,B,Rupesh Shil,,,,34759,,,,,Biharipur,9898989898,,
2376,Y,92,123522,8,A,Devsmita Shil,,,,34005,,,,,Biruni,9898989898,,
2377,R,93,123523,7,C,Komal Deoghare,,,,14/02/1995,,,,,Chamraula,9898989898,,
2378,B,94,123524,11,D,Anjali Mathulkar,,,,25/07/1994,,,,,Chaoli,9898989898,,
2379,G,95,123525,9,B,Mithun Funde,,,,29/11/1994,,,,,Chaugan,9898989898,,
2380,Y,96,123526,12,A,Rahul Naitam,,,,26/09/1993,,,,,Chaukra,9898989898,,
2381,R,97,123527,10,C,Minal Burande,,,,17/09/1994,,,,,Chirhauli,9898989898,,
2382,B,98,123528,1,D,Deepika Binekar,,,,32884,,,,,Chuharpur,9898989898,,
2383,G,99,123529,3,B,Sneha Bahadure,,,,34554,,,,,Dhangraoli (A.H.),9898989898,,
2384,Y,100,123530,2,A,Dipali Bawane,,,,14/01/1994,,,,,Dhangrauli Must,9898989898,,
2385,R,101,123531,5,C,Amol Gawali,,,,34434,,,,,Dharera,9898989898,,
2386,B,102,123532,4,D,rSHISH G. GrkhORKrR,,,,34485,,,,,Agarpur,9898989898,,
2387,G,103,123533,6,B,rSHISH PrTEL,,,,34674,,,,,Agwarkhas,9898989898,,
2388,Y,104,123534,8,A,hgHUSHrkh kh. YELLURE,,,,34670,,,,,Aharan,9898989898,,
2389,R,105,123535,7,C,CHETrkh r. khrGrPURE,,,,34837,,,,,Amanabad,9898989898,,
2390,B,106,123536,11,D,KrUTUhgH S. hgRrMHrkhKrR,,,,34736,,,,,Anwal Khera,9898989898,,
2391,G,107,123537,9,B,MrkhISHKUMrR M. CHrkhDrkhKrR,,,,34722,,,,,Arela,9898989898,,
2392,Y,108,123538,12,A,MIHIR TrLHrR,,,,34249,,,,,Bahrampur,9898989898,,
2393,R,109,123539,10,C,PrWrkh hg. hgrMhgODE,,,,34324,,,,,Bailoth,9898989898,,
2394,B,110,123540,1,D,SrCHIkh D. WrGHMrRE,,,,33808,,,,,Baman,9898989898,,
2395,G,111,123541,3,B,SHrkhKrR S. MrTE,,,,16/12/1994,,,,,Bandhanu,9898989898,,
2396,Y,112,123542,2,A,TrRrKrkhT G. KrPKrTE,,,,14/11/1994,,,,,Barhan,9898989898,,
2397,R,113,123543,5,C,Rutujr Trdse,,,,34527,,,,,Benai,9898989898,,
2398,B,114,123544,4,D,Shitrl Pofrre,,,,14/08/1994,,,,,Bhagupur,9898989898,,
2399,G,115,123545,6,B,rkhkitr Mrthrkhkrr,,,,34012,,,,,Bhikanpur Bakarpur,9898989898,,
2400,Y,116,123546,8,A,Rupesh Shil,,,,34759,,,,,Biharipur,9898989898,,
2401,R,117,123547,7,C,Devsmitr Shil,,,,34005,,,,,Biruni,9898989898,,
2402,B,118,123548,11,D,Komrl Deoghrre,,,,14/02/1995,,,,,Chamraula,9898989898,,
2403,G,119,123549,9,B,rkhjrli Mrthulkrr,,,,25/07/1994,,,,,Chaoli,9898989898,,
2404,Y,120,123550,12,A,Mithukh Fukhde,,,,29/11/1994,,,,,Chaugan,9898989898,,
2405,R,121,123551,10,C,Rrhul khritrm,,,,26/09/1993,,,,,Chaukra,9898989898,,
2406,B,122,123552,jr,D,Mikhrl hgurrkhde,,,,17/09/1994,,,,,Chirhauli,9898989898,,
2407,G,123,123553,sr,B,Deepikr hgikhekrr,,,,32884,,,,,Chuharpur,9898989898,,
2408,Y,124,123554,jr,A,Skhehr hgrhrdure,,,,34554,,,,,Dhangraoli (A.H.),9898989898,,
2409,R,125,123555,sr,C,Diprli hgrwrkhe,,,,14/01/1994,,,,,Dhangrauli Must,9898989898,,
2410,B,126,123556,jr,D,rmol Grwrli,,,,34434,,,,,Dharera,9898989898,,
2411,G,127,123557,sr,B,Amit,,,,06/06/2012,,,,,jihjhjhl,jknjjknnj,,
